"Category","Season","Meand13C","SDd13C","Meand15N","SDd15N","n"
"mesoplankton","autumn",-21.4724137931034,0.877047218033384,3.5448275862069,0.695694004418071,1000
"microplankton","autumn",-24.1066666666667,0.472783046992814,6.30714285714286,1.67537104304334,1000
"pico-nanoplankton","autumn",-23.3866666666667,0.498378322543179,3.11538461538462,1.366776105687,1000
"sediment","autumn",-1.56666666666667,3.20291533866674,3.36666666666667,0.757187779440036,1000
"mesoplankton","spring",-22.164,0.404021451575697,4.472,1.07063843881427,1000
"microplankton","spring",-24.25,0.831756083126647,8.425,2.47207126993466,1000
"pico-nanoplankton","spring",-23.8416666666667,0.568024220567675,5.74,2.08923165036548,1000
"sediment","spring",0.216666666666667,0.44007575105505,2.06666666666667,1.59478316185409,1000
