"","Meand13C","SDd13C","Meand15N","SDd15N"
"mesoplankton",1,0.4,2.5,1
"microplankton",1,0.4,2.5,1
"pico-nanoplankton",1,0.4,2.5,1
"sediment",1,0.4,2.5,1
